No,Tool,Category,What It Does,Pricing,Approx Monthly Web Visits,Origin
1,ChatGPT,Chatbots & Assistants (LLM),General-purpose multimodal assistant for writing/research/code,Freemium,5.5B,United States
2,Google Gemini,Chatbots & Assistants (LLM),Multimodal assistant integrated with Google Workspace,Freemium,805.6M,United States
3,Claude,Chatbots & Assistants (LLM),Long-context assistant focused on reasoning and safety,Freemium,219.9M,United States
4,Grok,Chatbots & Assistants (LLM),Conversational AI built into the X platform,Freemium,265.5M,United States
5,DeepSeek,Chatbots & Assistants (LLM),Open, low-cost LLM for chat/coding/translation,Freemium,262M,China
6,Microsoft Copilot,Chatbots & Assistants (LLM),Assistant across Windows, Edge and Microsoft 365,Freemium,94.5M,United States
7,Kimi,Chatbots & Assistants (LLM),Long-context assistant strong at research and coding,Freemium,18.5M,China
8,Doubao,Chatbots & Assistants (LLM),ByteDance consumer AI assistant,Freemium,n/a,China
9,Meta AI,Chatbots & Assistants (LLM),Llama-based assistant across WhatsApp/Instagram/Messenger,Free,n/a,United States
10,Poe,Chatbots & Assistants (LLM),Multi-model chat aggregator by Quora,Freemium,13M,United States
11,Qwen,Chatbots & Assistants (LLM),Alibaba open-weight LLM family and chat,Freemium,n/a,China
12,Yuanbao,Chatbots & Assistants (LLM),Tencent AI assistant,Freemium,n/a,China
13,Pi,Chatbots & Assistants (LLM),Conversational, empathetic personal AI,Free,0.81M,United States
14,OpenRouter,Chatbots & Assistants (LLM),Unified API/router across many LLMs,Freemium,n/a,United States
15,Perplexity AI,Search & Answer Engines,Answer engine with cited, real-time web results,Freemium,206.1M,United States
16,You.com,Search & Answer Engines,AI search and productivity assistant,Freemium,1.6M,United States
17,Genspark,Search & Answer Engines,Agentic AI search that generates answer pages,Freemium,n/a,United States
18,Consensus,Search & Answer Engines,AI search over scientific research papers,Freemium,3.3M,United States
19,Brave Leo,Search & Answer Engines,Privacy-focused browser with built-in AI assistant,Free,n/a,United States
20,Grammarly,Writing & Grammar,AI grammar, clarity and rewriting assistant,Freemium,54.4M,United States
21,QuillBot,Writing & Grammar,Paraphrasing, grammar and summarization,Freemium,47.3M,United States
22,Jasper,Writing & Grammar,Marketing copy and brand-voice content,Paid,0.81M,United States
23,Copy.ai,Writing & Grammar,AI copywriting and GTM content,Freemium,0.65M,United States
24,Writesonic,Writing & Grammar,AI article and marketing content writer,Freemium,0.91M,United States
25,Wordtune,Writing & Grammar,Rewriting and tone adjustment assistant,Freemium,0.85M,Israel
26,Rytr,Writing & Grammar,Budget AI writing assistant,Freemium,0.23M,United States
27,HyperWrite,Writing & Grammar,AI writing plus personal assistant agents,Freemium,0.37M,United States
28,Midjourney,Image Generation & Editing,High-quality text-to-image generation,Paid,16.4M,United States
29,Leonardo AI,Image Generation & Editing,Image generation for game/creative assets,Freemium,15.8M,Australia
30,Stable Diffusion,Image Generation & Editing,Open-source image generation models,Open source,2.8M,United Kingdom
31,Adobe Firefly,Image Generation & Editing,Commercially-safe generative imaging in Adobe apps,Freemium,n/a,United States
32,Ideogram,Image Generation & Editing,Text-to-image with strong in-image typography,Freemium,n/a,Canada
33,Recraft,Image Generation & Editing,Vector/brand-consistent AI image design,Freemium,n/a,United Kingdom
34,Remove.bg,Image Generation & Editing,Automatic background removal,Freemium,73.8M,Australia
35,PhotoRoom,Image Generation & Editing,AI product photo editing for e-commerce,Freemium,n/a,France
36,Freepik AI,Image Generation & Editing,AI image generation and design assets,Freemium,n/a,Spain
37,Picsart,Image Generation & Editing,AI-powered photo/graphic editing,Freemium,n/a,United States
38,DeepAI,Image Generation & Editing,Simple free image generation and AI APIs,Freemium,13.1M,United States
39,Microsoft Designer,Image Generation & Editing,AI graphic design powered by DALL-E,Freemium,1.5M,United States
40,CapCut,Video Generation & Editing,AI video editor with captions/effects/text-to-video,Freemium,82.9M,Singapore
41,Runway,Video Generation & Editing,Generative video and creative editing suite,Freemium,7.1M,United States
42,OpenAI Sora,Video Generation & Editing,Text-to-video generation model/app,Paid,n/a,United States
43,Google Veo (Flow),Video Generation & Editing,Cinematic text-to-video generation,Paid,n/a,United States
44,Kling AI,Video Generation & Editing,Text/image-to-video generation (Kuaishou),Freemium,n/a,China
45,Synthesia,Video Generation & Editing,AI avatar/presenter videos from text,Paid,2.7M,United Kingdom
46,HeyGen,Video Generation & Editing,AI avatars and video translation,Freemium,16.5M,United States
47,InVideo,Video Generation & Editing,Prompt-to-video for social content,Freemium,11.7M,United States
48,OpusClip,Video Generation & Editing,Turns long videos into short viral clips,Freemium,9.1M,United States
49,Pictory,Video Generation & Editing,Script/blog-to-video creation,Paid,2M,United States
50,Descript,Video Generation & Editing,Edit audio/video by editing text,Freemium,4.2M,United States
51,Luma Dream Machine,Video Generation & Editing,Text/image-to-video and 3D capture,Freemium,3.6M,United States
52,Filmora,Video Generation & Editing,AI-assisted desktop video editing,Paid,2.4M,China
53,Suno,Audio, Music & Voice,Generate full songs from text prompts,Freemium,85.5M,United States
54,Udio,Audio, Music & Voice,AI music generation with vocals,Freemium,n/a,United States
55,ElevenLabs,Audio, Music & Voice,Lifelike text-to-speech, voice cloning, dubbing,Freemium,52.6M,United Kingdom
56,Murf.ai,Audio, Music & Voice,AI voiceovers for media/e-learning,Freemium,1.1M,United States
57,Play.ht,Audio, Music & Voice,AI voice generation and TTS API,Freemium,0.48M,United States
58,Resemble AI,Audio, Music & Voice,Voice cloning and deepfake-audio detection,Paid,0.53M,United States
59,Krisp,Audio, Music & Voice,AI noise cancellation and meeting notes,Freemium,0.74M,United States
60,GitHub Copilot,Coding & Development,AI pair programmer inside the IDE,Paid,n/a,United States
61,Cursor,Coding & Development,AI-native code editor,Freemium,19.2M,United States
62,Replit,Coding & Development,Browser IDE with AI agent (Ghostwriter),Freemium,16.8M,United States
63,Lovable,Coding & Development,Describe-to-build full web apps (no-code),Paid,39.3M,Sweden
64,Bolt.new,Coding & Development,In-browser AI full-stack app builder,Freemium,n/a,United States
65,Windsurf,Coding & Development,Agentic AI IDE (formerly Codeium),Freemium,n/a,United States
66,Tabnine,Coding & Development,Privacy-first AI code completion,Freemium,0.16M,Israel
67,Vercel v0,Coding & Development,Generate UI/React code from prompts,Freemium,n/a,United States
68,Supabase,Coding & Development,Open-source backend with AI assistant,Freemium,n/a,United States
69,Google AI Studio,Coding & Development,Build and prototype with Gemini models,Free,69.1M,United States
70,Hugging Face,Coding & Development,Hub for models, datasets and ML apps,Freemium,37.2M,United States
71,GitLab Duo,Coding & Development,AI across the DevSecOps lifecycle,Freemium,n/a,United States
72,Character.ai,Companion & Character,Chat with customizable AI characters,Freemium,156.5M,United States
73,NotebookLM,Productivity, Notes & Knowledge,Research assistant grounded in your documents,Freemium,33.2M,United States
74,Notion AI,Productivity, Notes & Knowledge,AI writing/search inside Notion workspace,Freemium,n/a,United States
75,ClickUp Brain,Productivity, Notes & Knowledge,AI across tasks, docs and project mgmt,Freemium,n/a,United States
76,Mem,Productivity, Notes & Knowledge,Self-organizing AI note-taking,Freemium,0.1M,United States
77,Todoist AI,Productivity, Notes & Knowledge,AI-assisted task and project management,Freemium,n/a,United Kingdom
78,Asana AI,Productivity, Notes & Knowledge,AI work management and reporting,Freemium,n/a,United States
79,Airtable AI,Productivity, Notes & Knowledge,AI in no-code database/apps,Freemium,n/a,United States
80,Miro AI,Productivity, Notes & Knowledge,AI whiteboard/brainstorming collaboration,Freemium,n/a,United States
81,Canva Magic Studio,Presentations & Design,AI design suite for graphics/video/docs,Freemium,870.4M,Australia
82,Gamma,Presentations & Design,AI presentations, docs and websites,Freemium,24.4M,United States
83,Beautiful.ai,Presentations & Design,AI-assisted smart presentation design,Paid,1.3M,United States
84,SlidesAI,Presentations & Design,Generate slides from text in Google Slides,Freemium,0.45M,United States
85,Adobe Express,Presentations & Design,Web design suite with generative AI,Freemium,n/a,United States
86,Figma AI,Presentations & Design,AI features in collaborative design,Freemium,n/a,United States
87,HubSpot AI,Marketing, Sales & SEO,AI across CRM, marketing and service,Freemium,n/a,United States
88,Surfer SEO,Marketing, Sales & SEO,AI content optimization for search,Paid,n/a,Poland
89,Salesforce Einstein,Marketing, Sales & SEO,AI/agents built into Salesforce CRM,Paid,n/a,United States
90,AdCreative.ai,Marketing, Sales & SEO,Generate conversion-focused ad creatives,Paid,n/a,France
91,Zapier AI,Automation, Agents & No-code,Automate workflows/agents across 6000+ apps,Freemium,8.4M,United States
92,n8n,Automation, Agents & No-code,Open-source workflow automation with AI,Freemium,10.7M,Germany
93,Make,Automation, Agents & No-code,Visual no-code automation platform,Freemium,n/a,Czechia
94,Manus,Automation, Agents & No-code,Autonomous general AI agent for multi-step tasks,Freemium,22.2M,Singapore
95,DeepL,Translation & Language,High-accuracy AI translation and writing,Freemium,169.4M,Germany
96,Duolingo Max,Translation & Language,AI-powered language learning,Paid,n/a,United States
97,Otter.ai,Meetings & Transcription,Live meeting transcription and summaries,Freemium,6.6M,United States
98,Fireflies.ai,Meetings & Transcription,AI meeting notetaker and search,Freemium,n/a,United States
99,Quizlet,Education & Research,AI study tools, flashcards and tutoring,Freemium,n/a,United States
100,GPTZero,Detection & Integrity,Detect AI-generated text and plagiarism,Freemium,n/a,United States
